Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
4578,1770,73,26.9,67200,69764,1400000US48029121809,"Census Tract 1218.09, Bexar County, Texas"
4706,1514,73.7,26.3,73443,77242,1400000US48029121810,"Census Tract 1218.10, Bexar County, Texas"
4541,1471,73.2,26.8,85661,87987,1400000US48029121811,"Census Tract 1218.11, Bexar County, Texas"
6026,2103,79.8,20.2,61591,75698,1400000US48029121812,"Census Tract 1218.12, Bexar County, Texas"
2260,648,70.1,29.9,66154,72058,1400000US48029121813,"Census Tract 1218.13, Bexar County, Texas"
4948,1695,81.6,18.4,111188,130842,1400000US48029121903,"Census Tract 1219.03, Bexar County, Texas"
3626,1285,93.2,6.8,100758,103633,1400000US48029121904,"Census Tract 1219.04, Bexar County, Texas"
4407,1598,83.6,16.4,122377,139312,1400000US48029121905,"Census Tract 1219.05, Bexar County, Texas"
5036,2067,74.1,25.9,82500,88496,1400000US48029121906,"Census Tract 1219.06, Bexar County, Texas"
7395,2580,73.9,26.1,79722,92212,1400000US48029121907,"Census Tract 1219.07, Bexar County, Texas"
2018,815,85.3,14.7,120905,130096,1400000US48029121908,"Census Tract 1219.08, Bexar County, Texas"
3460,1159,62.3,37.6,72017,77713,1400000US48029121909,"Census Tract 1219.09, Bexar County, Texas"
3988,1566,82.9,17.2,87813,97806,1400000US48029121910,"Census Tract 1219.10, Bexar County, Texas"
1777,759,36.8,63.2,27225,27866,1400000US48029130200,"Census Tract 1302, Bexar County, Texas"
3072,1244,44.5,55.5,23932,30671,1400000US48029130300,"Census Tract 1303, Bexar County, Texas"
4057,1503,32.5,67.6,26772,32575,1400000US48029130401,"Census Tract 1304.01, Bexar County, Texas"
2994,1361,28.5,71.6,18043,26984,1400000US48029130402,"Census Tract 1304.02, Bexar County, Texas"
3602,1680,30.1,69.9,20159,26871,1400000US48029130500,"Census Tract 1305, Bexar County, Texas"
4819,1827,19.4,80.5,17795,26063,1400000US48029130600,"Census Tract 1306, Bexar County, Texas"
2348,844,33.5,66.5,21491,24925,1400000US48029130700,"Census Tract 1307, Bexar County, Texas"
5239,1995,49,50.9,25342,31994,1400000US48029130800,"Census Tract 1308, Bexar County, Texas"
4256,1707,40.6,59.4,23478,31176,1400000US48029130900,"Census Tract 1309, Bexar County, Texas"
4405,1940,47.2,52.7,30968,39298,1400000US48029131000,"Census Tract 1310, Bexar County, Texas"
2130,948,35.3,64.8,29344,34471,1400000US48029131100,"Census Tract 1311, Bexar County, Texas"
2679,1278,43.1,56.9,35833,43197,1400000US48029131200,"Census Tract 1312, Bexar County, Texas"
6200,2149,47.9,52.1,37190,46608,1400000US48029131300,"Census Tract 1313, Bexar County, Texas"
5902,1840,59.8,40.3,56826,61283,1400000US48029131401,"Census Tract 1314.01, Bexar County, Texas"
2437,998,44.4,55.6,46076,53348,1400000US48029131402,"Census Tract 1314.02, Bexar County, Texas"
3318,1215,53.3,46.8,62891,61132,1400000US48029131503,"Census Tract 1315.03, Bexar County, Texas"
4260,1359,39,60.9,46795,50094,1400000US48029131504,"Census Tract 1315.04, Bexar County, Texas"
3315,1050,54.7,45.3,60851,63749,1400000US48029131505,"Census Tract 1315.05, Bexar County, Texas"
3305,1167,57.1,43,45962,50555,1400000US48029131506,"Census Tract 1315.06, Bexar County, Texas"
6753,2018,33.8,66.1,33843,40450,1400000US48029131507,"Census Tract 1315.07, Bexar County, Texas"
1603,791,53.6,46.4,62049,72146,1400000US48029131601,"Census Tract 1316.01, Bexar County, Texas"
4305,1492,44,56,65266,68180,1400000US48029131606,"Census Tract 1316.06, Bexar County, Texas"
4055,1682,63.9,36.1,50799,60800,1400000US48029131608,"Census Tract 1316.08, Bexar County, Texas"
7949,2721,63.8,36.2,61083,65332,1400000US48029131609,"Census Tract 1316.09, Bexar County, Texas"
6265,1806,59.5,40.6,54545,60555,1400000US48029131610,"Census Tract 1316.10, Bexar County, Texas"
1547,519,76.8,23.2,68594,70381,1400000US48029131611,"Census Tract 1316.11, Bexar County, Texas"
1149,407,46.4,53.6,43690,51666,1400000US48029131612,"Census Tract 1316.12, Bexar County, Texas"
5193,1831,73.5,26.4,71809,77655,1400000US48029131613,"Census Tract 1316.13, Bexar County, Texas"
3416,1195,67.3,32.7,56347,64849,1400000US48029131614,"Census Tract 1316.14, Bexar County, Texas"
6164,2335,61.8,38.2,58158,60009,1400000US48029131615,"Census Tract 1316.15, Bexar County, Texas"
1047,414,83,17,70227,63279,1400000US48029131700,"Census Tract 1317, Bexar County, Texas"
2617,1000,64.9,35.2,65566,73250,1400000US48029131801,"Census Tract 1318.01, Bexar County, Texas"
6068,2155,57.2,42.9,57793,69360,1400000US48029131802,"Census Tract 1318.02, Bexar County, Texas"
1960,652,28.1,71.9,27952,36658,1400000US48029140100,"Census Tract 1401, Bexar County, Texas"
3237,1247,41.7,58.4,26883,42171,1400000US48029140200,"Census Tract 1402, Bexar County, Texas"
3343,1209,35.8,64.2,38721,42704,1400000US48029140300,"Census Tract 1403, Bexar County, Texas"
3852,1449,42.4,57.6,30500,37779,1400000US48029140400,"Census Tract 1404, Bexar County, Texas"
4066,1521,47.8,52.3,41685,47547,1400000US48029140500,"Census Tract 1405, Bexar County, Texas"
2356,856,39.3,60.8,27750,33067,1400000US48029140600,"Census Tract 1406, Bexar County, Texas"
4590,2046,50.1,49.9,36498,44506,1400000US48029140700,"Census Tract 1407, Bexar County, Texas"
4735,1867,39.9,60.1,31391,37070,1400000US48029140800,"Census Tract 1408, Bexar County, Texas"
1892,755,58,42,23993,30264,1400000US48029140900,"Census Tract 1409, Bexar County, Texas"
3339,1430,23.7,76.2,29496,32644,1400000US48029141000,"Census Tract 1410, Bexar County, Texas"
5134,1477,34.3,65.8,22557,25956,1400000US48029141101,"Census Tract 1411.01, Bexar County, Texas"
3580,1396,39.8,60.2,25938,29140,1400000US48029141102,"Census Tract 1411.02, Bexar County, Texas"
6945,2607,46.6,53.4,40374,45369,1400000US48029141200,"Census Tract 1412, Bexar County, Texas"
5485,2323,57.3,42.6,44624,53862,1400000US48029141300,"Census Tract 1413, Bexar County, Texas"
3545,1236,52,48,56146,61899,1400000US48029141402,"Census Tract 1414.02, Bexar County, Texas"
3408,1555,51.3,48.6,41055,42589,1400000US48029141403,"Census Tract 1414.03, Bexar County, Texas"
4839,1722,53.4,46.7,45658,49971,1400000US48029141404,"Census Tract 1414.04, Bexar County, Texas"
4470,1209,50.4,49.6,52014,59860,1400000US48029141600,"Census Tract 1416, Bexar County, Texas"
5068,1889,62.2,37.7,49750,55188,1400000US48029141700,"Census Tract 1417, Bexar County, Texas"
5159,1784,50.6,49.3,36122,44606,1400000US48029141800,"Census Tract 1418, Bexar County, Texas"
5592,2036,50.5,49.5,55652,63927,1400000US48029141900,"Census Tract 1419, Bexar County, Texas"
5014,1863,26.8,73.1,29372,38336,1400000US48029150100,"Census Tract 1501, Bexar County, Texas"
4008,1787,28.9,71.1,26529,34261,1400000US48029150300,"Census Tract 1503, Bexar County, Texas"
4223,1432,39.8,60.2,25806,34018,1400000US48029150400,"Census Tract 1504, Bexar County, Texas"
